step,x,y,new_color,ant_dx,ant_dy
712,102,94,0,-1,0
713,101,94,1,0,-1
714,101,93,0,-1,0
715,100,93,1,0,-1
716,100,92,1,1,0
717,101,92,1,0,1
718,101,93,1,-1,0
719,100,93,0,0,1
720,100,94,0,1,0
721,101,94,0,0,-1
722,101,93,0,-1,0
723,100,93,1,0,-1
724,100,92,0,-1,0
725,99,92,1,0,-1
726,99,91,1,1,0
727,100,91,1,0,1
728,100,92,1,-1,0
729,99,92,0,0,1
730,99,93,1,-1,0
731,98,93,1,0,-1
732,98,92,1,1,0
733,99,92,1,0,1
734,99,93,0,1,0
735,100,93,0,0,-1
736,100,92,0,-1,0
737,99,92,0,0,1
738,99,93,1,-1,0
739,98,93,0,0,1
740,98,94,1,-1,0
741,97,94,0,0,1
742,97,95,1,-1,0
743,96,95,1,0,-1
744,96,94,0,-1,0
745,95,94,1,0,-1
746,95,93,1,1,0
747,96,93,1,0,1
748,96,94,1,-1,0
749,95,94,0,0,1
750,95,95,0,1,0
751,96,95,0,0,-1
752,96,94,0,-1,0
753,95,94,1,0,-1
754,95,93,0,-1,0
755,94,93,1,0,-1
756,94,92,1,1,0
757,95,92,1,0,1
758,95,93,1,-1,0
759,94,93,0,0,1
760,94,94,1,-1,0
761,93,94,1,0,-1
762,93,93,1,1,0
763,94,93,1,0,1
764,94,94,0,1,0
765,95,94,0,0,-1
766,95,93,0,-1,0
767,94,93,0,0,1
768,94,94,1,-1,0
769,93,94,0,0,1
770,93,95,1,-1,0
771,92,95,1,0,-1
772,92,94,1,1,0
773,93,94,1,0,1
774,93,95,0,1,0
775,94,95,1,0,1
776,94,96,0,1,0
777,95,96,0,0,-1
778,95,95,1,1,0
779,96,95,1,0,1
780,96,96,0,1,0
781,97,96,1,0,1
782,97,97,0,1,0
783,98,97,0,0,-1
784,98,96,1,1,0
785,99,96,1,0,1
786,99,97,1,-1,0
787,98,97,1,0,-1
788,98,96,0,-1,0
789,97,96,0,0,1
790,97,97,1,-1,0
791,96,97,0,0,1
792,96,98,1,-1,0
793,95,98,1,0,-1
794,95,97,1,1,0
795,96,97,1,0,1
796,96,98,0,1,0
797,97,98,1,0,1
798,97,99,0,1,0
799,98,99,0,0,-1
800,98,98,1,1,0
801,99,98,1,0,1
802,99,99,1,-1,0
803,98,99,1,0,-1
804,98,98,0,-1,0
805,97,98,0,0,1
806,97,99,1,-1,0
807,96,99,1,0,-1
808,96,98,1,1,0
809,97,98,1,0,1
810,97,99,0,1,0
811,98,99,0,0,-1
812,98,98,1,1,0
813,99,98,0,0,-1
814,99,97,0,-1,0
815,98,97,0,0,1
816,98,98,0,1,0
817,99,98,1,0,1
818,99,99,0,1,0
819,100,99,0,0,-1
820,100,98,1,1,0
821,101,98,1,0,1
822,101,99,1,-1,0
823,100,99,1,0,-1
824,100,98,0,-1,0
825,99,98,0,0,1
826,99,99,1,-1,0
827,98,99,1,0,-1
828,98,98,1,1,0
829,99,98,1,0,1
830,99,99,0,1,0
831,100,99,0,0,-1
832,100,98,1,1,0
833,101,98,0,0,-1
834,101,97,1,1,0
835,102,97,1,0,1
836,102,98,0,1,0
837,103,98,1,0,1
838,103,99,0,1,0
839,104,99,1,0,1
840,104,100,1,-1,0
841,103,100,1,0,-1
842,103,99,1,1,0
843,104,99,0,0,-1
844,104,98,1,1,0
845,105,98,1,0,1
846,105,99,1,-1,0
847,104,99,1,0,-1
848,104,98,0,-1,0
849,103,98,0,0,1
850,103,99,0,1,0
851,104,99,0,0,-1
852,104,98,1,1,0
853,105,98,0,0,-1
854,105,97,0,-1,0
855,104,97,1,0,-1
856,104,96,1,1,0
857,105,96,1,0,1
858,105,97,1,-1,0
859,104,97,0,0,1
860,104,98,0,1,0
861,105,98,1,0,1
862,105,99,0,1,0
863,106,99,1,0,1
864,106,100,1,-1,0
865,105,100,1,0,-1
866,105,99,1,1,0
867,106,99,0,0,-1
868,106,98,0,-1,0
869,105,98,0,0,1
870,105,99,0,1,0
871,106,99,1,0,1
872,106,100,0,1,0
873,107,100,1,0,1
874,107,101,0,1,0
875,108,101,1,0,1
876,108,102,1,-1,0
877,107,102,1,0,-1
